stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
46,HOBA,Hobart,Hobart,4,SE,Kiowa,34.989710,-99.052830,473,Southwest,CONTINUITY,0.055,0.436,0.106,1.4,1.31,0,11,63.5,25.4,Silt loam,-999,-999,-999,-999,0.085,0.457,0.172,1.2,1.46,0,5.4,60.3,34.3,Silty clay loam,0.075,0.407,0.225,1.16,1.65,0,8.4,48.4,43.2,Silty clay,0.095,0.401,0.416,1.17,1.63,0,8.5,48.3,43.2,Silty clay,19940101,20991231
134,HOLD,Holdenville,Holdenville,3,ESE,Hughes,35.070730,-96.355950,280,East Central,STANDARD,0.055,0.402,0.032,1.61,1.5,0,27.2,49.2,23.6,Loam,0.057,0.408,0.031,1.64,0.054,0.396,0.04,1.54,1.53,0,24.9,50.2,24.9,Silt loam,0.064,0.418,0.045,1.3,1.62,0,19.7,40,40.3,Silty clay,0.067,0.432,0.038,1.33,1.59,0,17.2,39.8,43,Clay,20090529,20991231
47,HOLL,Hollis,Gould,3,W,Harmon,34.685500,-99.833310,497,Southwest,STANDARD,0.073,0.432,0.143,1.26,1.5,0,20.7,35.2,44.1,Clay,-999,-999,-999,-999,0.067,0.391,0.186,1.17,1.7,0,18.1,30.1,51.8,Clay,0.072,0.414,0.172,1.19,1.62,0,15.5,30.7,53.8,Clay,0.08,0.404,0.277,1.16,1.66,0,12.1,31.8,56,Clay,19940101,20991231
48,HOOK,Hooker,Hooker,1,W,Texas,36.855180,-101.225470,912,Panhandle,STANDARD,0.043,0.382,0.186,1.36,1.48,0,36.4,38.8,24.8,Loam,-999,-999,-999,-999,0.057,0.366,0.156,1.24,1.7,0,35.1,29.5,35.4,Clay loam,0.08,0.431,0.203,1.24,1.5,0,11,47.1,41.9,Silty clay,0.096,0.473,0.261,1.18,1.41,0,7.5,48.2,44.3,Silty clay,19940101,20991231
49,HUGO,Hugo,Hugo,2,NW,Choctaw,34.030840,-95.540110,175,Southeast,STANDARD,0.034,0.407,0.077,1.48,1.31,0,34.9,47,18.2,Loam,-999,-999,-999,-999,0.066,0.416,0.02,1.59,1.59,0,26.6,37.7,35.7,Clay loam,0.091,0.421,0.17,1.24,1.59,0,14.4,29.6,56,Clay,0.077,0.465,0.14,1.18,1.48,0,15.5,27.1,57.4,Clay,19940101,20991231
50,IDAB,Idabel,Idabel,5,SW,McCurtain,33.830130,-94.880300,110,Southeast,STANDARD,0.06,0.419,0.091,1.39,1.47,0,1.5,67.5,30.9,Silty clay loam,-999,-999,-999,-999,0.111,0.541,0.302,1.25,1.17,0,5,32.1,62.9,Clay,0.081,0.498,0.113,1.19,1.41,0,4.6,27.7,67.7,Clay,0.107,0.481,0.36,1.17,1.42,0,4.9,27.6,67.5,Clay,19940101,20991231
120,INOL,Inola,Inola,3.1,ESE,Rogers,36.142460,-95.450670,190,Northeast,STANDARD,0.051,0.406,0.043,1.55,1.42,0,33.4,48.2,18.4,Loam,-999,-999,-999,-999,0.078,0.508,0.231,1.32,1.14,0,20.7,37.5,41.9,Clay,0.077,0.498,0.025,1.34,1.45,0,5.6,21.7,72.8,Clay,0.076,0.444,0.159,1.2,1.52,0,18,28.6,53.4,Clay,20011201,20991231
51,JAYX,Jay,Jay,4,N,Delaware,36.482100,-94.782870,304,Northeast,STANDARD,0.058,0.406,0.015,2.05,1.56,0,7.4,74.5,18.1,Silt loam,-999,-999,-999,-999,0.05,0.356,0.023,1.57,1.88,0,6.7,70.8,22.5,Silt loam,0.082,0.488,0.054,1.3,1.42,0,4,44.3,51.8,Silty clay,0.094,0.445,0.14,1.32,1.52,0,7.2,42.3,50.4,Silty clay,19940101,20991231
52,KENT,Kenton,Kenton,5,SE,Cimarron,36.829370,-102.878200,1322,Panhandle,STANDARD,0.09,0.441,0.312,1.29,1.42,0,14.8,36.2,48.9,Clay,-999,-999,-999,-999,0.081,0.43,0.295,1.31,1.42,0,15.9,39.9,44.3,Clay,0.222,0.37,0.58,1.64,1.6,0,1.6,68.6,29.8,Silty clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
53,KETC,Ketchum Ranch,Velma,7,NW,Stephens,34.528870,-97.764840,341,South Central,STANDARD,0.043,0.397,0.072,1.45,1.45,0,44.2,33.3,22.6,Loam,-999,-999,-999,-999,0.06,0.425,0.069,1.4,1.46,0,34.9,29.1,36,Clay loam,0.061,0.411,0.069,1.23,1.66,0,20.5,27.4,52.1,Clay,0.053,0.384,0.045,1.3,1.71,0,37.2,19.6,43.1,Clay,19940101,20991231
133,KIN2,Kingfisher,Kingfisher,1,W,Kingfisher,35.854310,-97.954420,323,Central,STANDARD,0.028,0.353,0.246,1.37,1.57,0,54.7,26.4,18.9,Sandy loam,-999,-999,-999,-999,0.036,0.363,0.215,1.36,1.59,0,52.7,21.4,25.8,Sandy clay loam,0.078,0.378,0.351,1.22,1.65,0,2.9,58.8,38.3,Silty clay loam,0.063,0.39,0.19,1.27,1.59,0,0.5,65.9,33.6,Silty clay loam,20090306,20991231
54,KING,Kingfisher,Kingfisher,2,NE,Kingfisher,35.880500,-97.911210,319,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20090305
55,LAHO,Lahoma,Lahoma,1,WSW,Major,36.384350,-98.111390,396,North Central,CONTINUITY,0.037,0.394,0.095,1.44,1.37,0,21.3,59.8,18.9,Silt loam,-999,-999,-999,-999,0.063,0.418,0.151,1.33,1.44,0,13.2,53.9,33,Silty clay loam,0.068,0.387,0.214,1.24,1.62,0,12.6,51.3,36.1,Silty clay loam,0.069,0.406,0.183,1.28,1.53,0,8,57.3,34.7,Silty clay loam,19940101,20991231
56,LANE,Lane,Lane,1,WNW,Atoka,34.308760,-95.997160,181,South Central,STANDARD,0.022,0.381,0.066,1.53,1.3,0,37.8,51.5,10.7,Silt loam,-999,-999,-999,-999,0.018,0.351,0.121,1.44,1.45,0,46.8,41.3,11.9,Loam,0.018,0.339,0.107,1.45,1.51,0,48,41.4,10.7,Loam,0.046,0.359,0.03,1.57,1.68,0,42.2,39,18.9,Loam,19940101,20991231
57,MADI,Madill,Lebanon,4.5,NNW,Marshall,34.035790,-96.943940,232,South Central,STANDARD,0.017,0.344,0.147,1.41,1.49,0,57.5,37.5,5,Sandy loam,-999,-999,-999,-999,0.018,0.338,0.377,1.39,1.52,0,56.2,37.5,6.3,Sandy loam,0.049,0.345,0.262,1.29,1.68,0,48.4,30.2,21.4,Loam,0.048,0.341,0.241,1.29,1.68,0,33.5,45.2,21.3,Loam,19940101,20991231
58,MANG,Mangum,Mangum,5,SE,Greer,34.835920,-99.423980,460,Southwest,STANDARD,0.017,0.381,0.638,1.58,1.52,0,88.7,5,6.3,Sand,-999,-999,-999,-999,0.02,0.352,0.607,1.73,1.63,0,90.3,4.7,5,Sand,0.02,0.331,0.12,1.41,1.71,0,88.3,4.2,7.5,Loamy sand,0.03,0.355,0.591,1.82,1.61,0,86.6,6.3,7.1,Loamy sand,19940101,20991231
59,MARE,Marena,Coyle,7,N,Payne,36.064340,-97.212710,327,Central,STANDARD,0.049,0.374,0.042,1.48,1.63,0,38.6,35.2,26.3,Loam,-999,-999,-999,-999,0.049,0.395,0.074,1.41,1.51,0,42.3,32,25.7,Loam,0.055,0.379,0.101,1.27,1.66,0,40.3,24.6,35.1,Clay loam,0.049,0.353,0.11,1.28,1.73,0,38,31,31,Clay loam,19940101,20991231
60,MARS,Marshall,Marshall,3,SSE,Logan,36.118600,-97.601400,315,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20030923
61,MAYR,May Ranch,Freedom,16,NNE,Woods,36.987070,-99.011090,555,North Central,STANDARD,0.035,0.359,0.07,1.47,1.58,0,44.2,34.3,21.6,Loam,-999,-999,-999,-999,0.044,0.393,0.055,1.51,1.47,0,41.9,32.6,25.5,Loam,0.073,0.425,0.145,1.21,1.56,0,14.3,41.6,44.2,Silty clay,0.071,0.415,0.149,1.23,1.57,0,17,41.5,41.5,Silty clay,19940101,20991231
62,MCAL,McAlester,McAlester,4,S,Pittsburg,34.882310,-95.780960,230,East Central,STANDARD,0.019,0.41,0.56,1.41,1.32,0,66.2,25,8.8,Sandy loam,-999,-999,-999,-999,0.072,0.429,0.159,1.24,1.51,0,29.5,27.3,43.2,Clay,0.052,0.373,0.125,1.24,1.7,0,53.6,10.8,35.6,Sandy clay,0.052,0.365,0.168,1.25,1.7,0,58.3,10.1,31.6,Sandy clay loam,19940101,20991231
63,MEDF,Medford,Medford,1,SW,Grant,36.792420,-97.745770,332,North Central,STANDARD,0.044,0.43,0.041,1.64,1.25,0,15.9,66.4,17.7,Silt loam,-999,-999,-999,-999,0.061,0.418,0.082,1.38,1.46,0,13,60.8,26.2,Silt loam,0.104,0.451,0.464,1.12,1.55,0,4.5,45.1,50.4,Silty clay,0.086,0.396,0.137,1.29,1.68,0,6.4,45.5,48.1,Silty clay,19940101,20991231
64,MEDI,Medicine Park,Medicine Park,3,W,Comanche,34.729210,-98.569360,487,Southwest,STANDARD,0.033,0.34,0.101,1.38,1.7,0,63.6,18.9,17.6,Sandy loam,-999,-999,-999,-999,0.041,0.385,0.349,1.34,1.57,0,76.2,5.6,18.1,Sandy loam,0.049,0.379,0.035,1.32,1.72,0,58.3,5.7,36.1,Sandy clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
65,MIAM,Miami,Miami,2,NE,Ottawa,36.888320,-94.844370,247,Northeast,STANDARD,0.032,0.423,0.043,1.66,1.2,0,15.6,60.5,23.9,Silt loam,-999,-999,-999,-999,0.028,0.366,0.043,1.65,1.43,0,23.4,62.2,14.4,Silt loam,0.081,0.51,0.028,1.36,1.38,0,9.5,28,62.5,Clay,0.078,0.479,0.027,1.34,1.51,0,3.8,41,55.3,Silty clay,19940101,20991231
66,MINC,Minco,Minco,2,SSW,Grady,35.272250,-97.955530,430,Central,STANDARD,0.044,0.384,0.069,1.46,1.5,0,18.7,61.1,20.2,Silt loam,-999,-999,-999,-999,0.044,0.373,0.05,1.51,1.59,0,14.1,68.2,17.7,Silt loam,0.039,0.322,0.082,1.29,1.93,0,12.6,74.2,13.2,Silt loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
125,MRSH,Marshall,Marshall,4,SSE,Logan,36.116850,-97.606850,311,Central,STANDARD,0.054,0.43,0.029,1.74,1.32,0,19.9,63,17,Silt loam,-999,-999,-999,-999,0.082,0.477,0.075,1.32,1.38,0,8.3,52.9,38.8,Silty clay loam,0.072,0.411,0.186,1.16,1.64,0,11.4,47.8,40.8,Silty clay,0.078,0.401,0.299,1.14,1.67,0,13,47.6,39.4,Silty clay loam,20030925,20991231
67,MTHE,Mt Herman,Smithville,16,SW,McCurtain,34.310720,-94.822750,284,Southeast,STANDARD,0.024,0.364,0.137,1.41,1.44,0,46.6,44,9.4,Loam,-999,-999,-999,-999,0.019,0.305,0.102,1.45,1.68,0,44.2,46.4,9.4,Loam,0.049,0.36,0.135,1.31,1.65,0,36.3,37.2,26.5,Loam,0.05,0.361,0.131,1.3,1.66,0,36.9,34.7,28.4,Clay loam,19940101,20991231
68,NEWK,Newkirk,Newkirk,8,E,Kay,36.898100,-96.910350,366,North Central,STANDARD,0.063,0.419,0.099,1.35,1.47,0,13.6,56.6,29.9,Silty clay loam,-999,-999,-999,-999,0.068,0.454,0.076,1.41,1.34,0,14.9,47.4,37.7,Silty clay loam,0.07,0.446,0.071,1.41,1.41,0,5.1,55.1,39.7,Silty clay loam,0.064,0.418,0.057,1.42,1.53,0,8.7,54.2,37,Silty clay loam,19940101,20991231
123,NEWP,Newport,Ardmore,7,WNW,Carter,34.228100,-97.201420,283,South Central,STANDARD,0.027,0.363,0.03,1.75,1.43,0,53.6,41.4,5,Sandy loam,-999,-999,-999,-999,0.027,0.36,0.552,1.49,1.54,0,69.3,21.3,9.4,Sandy loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20021003,20991231
109,NINN,Ninnekah,Ninnekah,2,NNW,Grady,34.967740,-97.952020,356,Central,STANDARD,0.04,0.418,0.103,1.42,1.32,0,43.8,36.6,19.6,Loam,-999,-999,-999,-999,0.043,0.39,0.234,1.35,1.45,0,43.9,34,22.1,Loam,0.071,0.439,0.228,1.31,1.38,0,29.1,33.6,37.4,Clay loam,0.061,0.381,0.174,1.24,1.64,0,33.4,31.1,35.6,Clay loam,19940101,20171011
69,NORM,Norman,Norman,3,NW,Cleveland,35.255600,-97.483600,360,Central,SUPER,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20020730
70,NOWA,Nowata,Delaware,3,SE,Nowata,36.743740,-95.607950,206,Northeast,STANDARD,0.062,0.436,0.021,1.86,1.33,0,22,59.2,18.9,Silt loam,-999,-999,-999,-999,0.057,0.402,0.019,1.88,1.52,0,18.1,59.9,22.1,Silt loam,0.072,0.448,0.056,1.39,1.45,0,15.2,45.9,39,Silty clay loam,0.086,0.49,0.141,1.27,1.33,0,10,38.3,51.7,Clay,19940101,20991231
121,NRMN,Norman,Norman,2.1,NW,Cleveland,35.236110,-97.464880,357,Central,STANDARD,0.074,0.457,0.051,1.45,1.41,0,8.3,49,42.7,Silty clay,-999,-999,-999,-999,0.065,0.45,0.274,1.34,1.27,0,17.7,48.4,33.9,Silty clay loam,0.083,0.381,0.145,1.27,1.71,0,12.5,41.5,46,Silty clay,0.066,0.407,0.13,1.17,1.66,0,17,39.6,43.4,Clay,20020701,20991231
71,OILT,Oilton,Oilton,6,ESE,Creek,36.031260,-96.497490,255,Central,CONTINUITY,0.038,0.337,0.033,1.58,1.73,0,45.8,40.3,13.9,Loam,-999,-999,-999,-999,0.031,0.344,0.139,1.37,1.61,0,52.1,34,13.9,Sandy loam,0.036,0.371,0.242,1.35,1.5,0,48.3,35.3,16.4,Loam,0.042,0.362,0.074,1.42,1.61,0,41.9,35.4,22.7,Loam,19940101,20991231
130,OKCE,Oklahoma City East,Oklahoma City,3,E,Oklahoma,35.472260,-97.464140,355,Central,STANDARD,0.037,0.383,0.161,1.38,1.46,0,37.3,37,25.7,Loam,-999,-999,-999,-999,0.027,0.422,0.554,1.41,1.39,0,76.2,8.8,15,Sandy loam,0.024,0.299,0.195,1.34,1.85,0,73.1,14.4,12.5,Sandy loam,0.024,0.372,0.546,1.45,1.56,0,83.7,7.5,8.8,Loamy sand,20070420,20991231
128,OKCN,Oklahoma City North,Oklahoma City,6.1,N,Oklahoma,35.555600,-97.510700,362,Central,STANDARD,0.077,0.482,0.036,1.59,1.25,0,15.7,52.5,31.9,Silty clay loam,0.069,0.451,0.079,1.39,0.081,0.457,0.148,1.22,1.47,0,7.5,43.5,48.9,Silty clay,0.073,0.44,0.118,1.2,1.56,0,10,38.8,51.2,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20070303,20180507
129,OKCW,Oklahoma City West,Oklahoma City,3.7,W,Oklahoma,35.471120,-97.582450,366,Central,STANDARD,0.07,0.443,0.071,1.35,1.43,0,26.3,42.9,30.7,Clay loam,-999,-999,-999,-999,0.055,0.39,0.041,1.49,1.58,0,27,48,25,Loam,0.048,0.372,0.056,1.45,1.61,0,21.6,59.2,19.1,Silt loam,0.054,0.375,0.03,1.5,1.73,0,16.5,62.4,21,Silt loam,20070406,20150609
72,OKEM,Okemah,Okemah,3,E,Okfuskee,35.431720,-96.262650,263,Central,STANDARD,0.041,0.37,0.09,1.42,1.53,0,27.3,49.3,23.4,Loam,-999,-999,-999,-999,0.066,0.407,0.117,1.23,1.63,0,13,39.7,47.3,Clay,0.083,0.372,0.158,1.24,1.76,0,10,39.8,50.1,Clay,0.08,0.358,0.163,1.23,1.81,0,10.4,40.3,49.3,Silty clay,19940101,20991231
73,OKMU,Okmulgee,Morris,3,SW,Okmulgee,35.582110,-95.914730,205,East Central,STANDARD,0.044,0.409,0.046,1.6,1.36,0,15.9,66.5,17.6,Silt loam,-999,-999,-999,-999,0.071,0.446,0.059,1.42,1.42,0,9.9,59.2,30.9,Silty clay loam,0.068,0.405,0.16,1.15,1.7,0,5,53.4,41.6,Silty clay,0.077,0.374,0.105,1.36,1.75,0,3.6,60.1,36.3,Silty clay loam,19940101,20991231
74,PAUL,Pauls Valley,Pauls Valley,1,SSW,Garvin,34.715500,-97.229240,291,South Central,STANDARD,0.028,0.401,0.169,1.39,1.27,0,23.3,60.4,16.3,Silt loam,-999,-999,-999,-999,0.036,0.413,0.244,1.37,1.27,0,19.5,58.9,21.6,Silt loam,0.041,0.386,0.099,1.42,1.45,0,19.2,57.5,23.3,Silt loam,0.056,0.387,0.046,1.44,1.63,0,18.3,53.2,28.5,Silty clay loam,19940101,20991231
75,PAWN,Pawnee,Pawnee,3,ENE,Pawnee,36.361140,-96.769860,283,Northeast,STANDARD,0.09,0.516,0.11,1.32,1.2,0,11.2,50.5,38.2,Silty clay loam,-999,-999,-999,-999,0.087,0.508,0.087,1.27,1.31,0,10.2,43.6,46.2,Silty clay,0.076,0.471,0.079,1.24,1.47,0,9.7,36.7,53.7,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
76,PERK,Perkins,Perkins,2,NNW,Payne,35.998650,-97.048310,292,Central,STANDARD,0.021,0.432,0.328,1.35,1.17,0,43.3,40.9,15.8,Loam,-999,-999,-999,-999,0.035,0.354,0.155,1.37,1.58,0,39.2,37.4,23.4,Loam,0.057,0.376,0.218,1.29,1.58,0,34.9,37,28.1,Clay loam,0.05,0.368,0.052,1.38,1.69,0,38.6,30.7,30.7,Clay loam,19940101,20991231
118,PORT,Porter,Clarksville,2.5,W,Wagoner,35.825700,-95.559760,193,Northeast,STANDARD,0.026,0.331,0.141,1.38,1.64,0,53.1,34.1,12.8,Sandy loam,-999,-999,-999,-999,0.032,0.345,0.156,1.36,1.61,0,47.6,36.3,16.1,Loam,0.043,0.363,0.201,1.33,1.58,0,45.2,34.3,20.5,Loam,0.037,0.363,0.218,1.34,1.55,0,51.2,31.9,16.9,Loam,19991105,20991231
114,PRES,Preston,Preston,1,N,Okmulgee,35.724700,-95.988600,300,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19960619,20000120
77,PRYO,Pryor,Adair,5,S,Mayes,36.369140,-95.271380,201,Northeast,STANDARD,0.044,0.433,0.028,1.8,1.23,0,14.9,66.2,18.9,Silt loam,-999,-999,-999,-999,0.052,0.416,0.062,1.49,1.4,0,15.8,55.1,29.1,Silty clay loam,0.075,0.483,0.046,1.24,1.5,0,2.5,33.8,63.7,Clay,0.073,0.462,0.076,1.2,1.53,0,5.3,36.3,58.4,Clay,19940101,20991231
78,PUTN,Putnam,Putnam,3,N,Dewey,35.899040,-98.960380,589,West Central,STANDARD,0.035,0.392,0.139,1.4,1.4,0,31.6,44.3,24.1,Loam,-999,-999,-999,-999,0.045,0.366,0.087,1.4,1.6,0,24,48.2,27.9,Clay loam,0.068,0.436,0.286,1.33,1.32,0,21,49.1,30,Clay loam,0.062,0.422,0.125,1.34,1.43,0,21.8,45.5,32.7,Clay loam,19940101,20991231
79,REDR,Red Rock,Red Rock,7,SSE,Noble,36.355900,-97.153060,293,North Central,STANDARD,0.05,0.395,0.061,1.47,1.5,0,28.7,42.3,29,Clay loam,-999,-999,-999,-999,0.076,0.463,0.087,1.3,1.42,0,15.2,38.2,46.6,Clay,0.069,0.4,0.19,1.15,1.69,0,14.6,33.7,51.8,Clay,0.061,0.406,0.068,1.21,1.7,0,13.7,34.8,51.5,Clay,19940101,20991231
80,RETR,Retrop,Willow,10,ENE,Washita,35.122750,-99.360010,538,West Central,STANDARD,0.065,0.417,0.313,1.34,1.4,0,29,38.1,32.9,Clay loam,-999,-999,-999,-999,0.079,0.42,0.273,1.28,1.46,0,20,41.9,38.1,-999,0.098,0.46,0.288,1.21,1.46,0,5.2,32.6,62.1,Clay,0.138,0.483,0.524,1.2,1.37,0,5.8,37.3,56.9,Clay,19940101,20150609
